smiles
CN(C)C1=CC=CC=C1
C1CNCCC1
C1(N2CCCC2)=CCCCC1
C12=CC=CC=C1NC=C2
CCN(CC)CC
N12CCCN=C1CCCCC2
C1=CC=NN1
C1(/C=N/C2=CC=CC=C2)=CC=CC=C1
